Zip,#_of_Art_Projects,#_of_Artists_Projects,%_Unemployment_2010,%_Unemployment_2011,%_Unemployment_2012,%_Unemployment_2013,%_Unemployment_2014,%_Unemployment_2015,%_Unemployment_2016,CAGR_Unemployment,#_Employemnt_in_Arts_n_Entertainment_2010,#_Employemnt_in_Arts_n_Entertainment_2011,#_Employemnt_in_Arts_n_Entertainment_2012,#_Employemnt_in_Arts_n_Entertainment_2013,#_Employemnt_in_Arts_n_Entertainment_2014,#_Employemnt_in_Arts_n_Entertainment_2015,#_Employemnt_in_Arts_n_Entertainment_2016,CAGR_Employemnt_in_Arts_n_Entertainment,#_Educated_High_School_2000,#_Educated_High_School_2010,#_Educated_High_School_2011,#_Educated_High_School_2012,#_Educated_High_School_2013,#_Educated_High_School_2014,#_Educated_High_School_2015,#_Educated_High_School_2016,CAGR_High_School_Education,#_Unemployed_2010,#_Unemployed_2011,#_Unemployed_2012,#_Unemployed_2013,#_Unemployed_2014,#_Unemployed_2015,#_Unemployed_2016,Population_2010,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Population_2016,Total_Household_Income_2000,Total_Household_Income_2010,Total_Household_Income_2011,Total_Household_Income_2012,Total_Household_Income_2013,Total_Household_Income_2014,Total_Household_Income_2015,Total_Household_Income_2016,Per_Capita_Household_Income_2000,Per_Capita_Household_Income_2010,Per_Capita_Household_Income_2011,Per_Capita_Household_Income_2012,Per_Capita_Household_Income_2013,Per_Capita_Household_Income_2014,Per_Capita_Household_Income_2015
90002,2,,9.86%,10.02%,11.03%,10.99%,12.46%,6.97%,6.31%,-6.19%,187,188,231,210,243,225,238,3.51%,"4,049","6,318","6,308","6,360","6,386","6,518","6,829","6,934",1.71,"1,930","1,987","2,202","2,113","2,438","1,235","1,123","49,782","50,481","51,389","50,940","51,176","51,484","51,685","$360,115,793.00 ","$536,198,411.00 ","$533,614,667.00 ","$604,686,650.00 ","$639,963,621.00 ","$591,357,041.00 ","$611,334,094.00 ","$584,938,732.00 ","$8,161.00 ","$10,638.00 ","$10,571.00 ","$11,767.00 ","$12,870.00 ","$11,799.00 ","$12,053.00 "
90003,5,,9.91%,10.09%,12.53%,14.20%,15.67%,6.95%,6.30%,-6.26%,495,495,490,641,565,546,588,2.49%,"5,594","8,544","8,534","7,941","8,582","8,520","8,863","8,982",1.76,"2,761","2,835","3,589","3,981","4,488","1,764","1,604","68,819","68,674","69,963","70,885","70,900","70,888","71,153","$465,191,702.00 ","$703,136,425.00 ","$697,995,290.00 ","$721,820,950.00 ","$768,028,932.00 ","$758,173,951.00 ","$776,808,160.00 ","$733,886,279.00 ","$7,660.00 ","$10,232.00 ","$10,164.00 ","$10,317.00 ","$11,023.00 ","$10,846.00 ","$11,123.00 "
90004,,1,8.46%,8.63%,10.66%,13.42%,14.51%,6.94%,6.29%,-4.15%,"1,286","1,295",997,"1,158","1,198","1,168","1,243",-0.48%,"7,159","9,004","8,970","7,972","7,707","7,211","7,476","7,650",1.17,"2,807","2,883","3,751","4,828","5,235","2,247","2,058","59,158","59,923","61,296","61,383","60,919","61,173","61,726","$1,014,796,339.00 ","$1,307,365,392.00 ","$1,323,058,394.00 ","$1,478,546,998.00 ","$1,555,148,952.00 ","$1,582,527,045.00 ","$1,632,025,068.00 ","$1,727,397,570.00 ","$15,565.00 ","$21,849.00 ","$22,079.00 ","$24,121.00 ","$25,945.00 ","$26,336.00 ","$27,122.00 "
90005,1,,9.19%,9.39%,12.47%,12.80%,12.11%,6.94%,6.29%,-5.27%,600,600,642,707,591,558,541,-1.47%,"4,696","6,195","6,166","5,772","6,096","5,602","5,887","5,754",1.39,"2,090","2,150","3,025","3,155","2,954","1,556","1,338","40,083","38,895","40,291","41,008","41,143","41,746","39,605","$575,713,134.00 ","$724,408,977.00 ","$739,117,378.00 ","$848,651,026.00 ","$862,397,904.00 ","$944,316,968.00 ","$982,090,816.00 ","$984,928,433.00 ","$13,074.00 ","$18,663.00 ","$19,003.00 ","$21,063.00 ","$21,248.00 ","$23,165.00 ","$23,781.00 "
90006,5,,9.83%,10.00%,12.48%,14.78%,15.15%,6.93%,6.29%,-6.18%,392,393,426,404,344,329,345,-1.81%,"6,084","8,990","8,970","8,837","8,631","8,926","9,335","9,471",1.76,"3,097","3,174","4,039","4,766","5,064","2,082","1,886","58,099","58,931","59,277","58,121","59,664","60,132","60,055","$595,182,456.00 ","$723,167,759.00 ","$729,455,900.00 ","$825,710,652.00 ","$817,298,387.00 ","$825,961,153.00 ","$848,419,907.00 ","$825,310,725.00 ","$9,568.00 ","$12,281.00 ","$12,378.00 ","$13,930.00 ","$14,575.00 ","$14,697.00 ","$14,740.00 "
90007,,1,10.63%,10.82%,13.60%,14.64%,14.70%,6.94%,6.30%,-7.20%,702,705,688,497,464,441,462,-5.80%,"2,673","4,083","4,070","4,098","3,756","3,797","4,002","4,222",1.50,"2,177","2,234","2,963","3,015","2,911","1,234","1,132","43,012","43,960","47,828","45,939","43,837","44,316","44,456","$361,038,734.00 ","$440,077,146.00 ","$440,674,467.00 ","$546,970,173.00 ","$549,548,515.00 ","$538,540,561.00 ","$558,591,167.00 ","$569,060,316.00 ","$7,908.00 ","$10,001.00 ","$10,024.00 ","$11,436.00 ","$13,861.00 ","$14,013.00 ","$14,466.00 "
90008,1,2,11.09%,11.22%,14.90%,15.46%,16.05%,6.97%,6.33%,-7.69%,215,218,193,172,212,205,225,0.65%,"4,109","5,296","5,258","4,480","4,995","4,794","5,020","5,126",1.38,"1,731","1,766","2,242","2,366","2,481",963,884,"31,301","31,212","30,469","31,667","32,093","32,499","32,780","$655,631,345.00 ","$723,319,770.00 ","$723,540,171.00 ","$772,397,415.00 ","$850,530,190.00 ","$921,123,396.00 ","$962,994,402.00 ","$986,760,326.00 ","$20,824.00 ","$23,113.00 ","$23,181.00 ","$25,350.00 ","$27,009.00 ","$28,820.00 ","$29,781.00 "
90010,,,7.34%,7.48%,10.91%,11.34%,11.88%,7.01%,6.31%,-2.13%,29,29,30,46,56,53,57,10.13%,132,324,322,291,281,357,357,317,0.92,110,113,147,147,184,97,76,"2,555","2,460","2,407","2,193","2,626","2,574","2,239","$33,792,751.00 ","$68,379,550.00 ","$69,988,712.00 ","$114,815,293.00 ","$100,631,974.00 ","$98,998,005.00 ","$103,376,980.00 ","$116,504,490.00 ","$30,389.00 ","$27,887.00 ","$28,451.00 ","$47,701.00 ","$45,996.00 ","$37,828.00 ","$40,293.00 "
90011,6,,7.71%,7.84%,9.39%,11.33%,11.75%,6.95%,6.29%,-2.86%,569,577,530,600,479,462,508,-1.61%,"6,260","12,364","12,377","11,438","11,528","11,357","11,917","12,063",1.95,"3,479","3,577","4,461","5,170","5,250","2,835","2,538","103,191","104,627","109,098","107,454","104,859","105,784","104,440","$768,362,843.00 ","$942,841,442.00 ","$940,730,927.00 ","$1,165,078,235.00 ","$1,166,088,072.00 ","$1,071,670,137.00 ","$1,092,562,305.00 ","$1,046,682,102.00 ","$7,695.00 ","$9,039.00 ","$8,991.00 ","$10,679.00 ","$11,071.00 ","$10,416.00 ","$10,521.00 "
90012,21,4,10.09%,10.27%,10.70%,10.75%,10.06%,6.95%,6.30%,-6.52%,244,246,243,236,331,317,325,4.18%,"3,716","5,226","5,215","4,645","4,958","4,753","5,025","5,291",1.51,"1,024","1,056","1,229","1,165","1,140",735,687,"32,477","29,163","30,930","32,480","33,185","34,186","34,568","$309,038,597.00 ","$458,097,496.00 ","$468,473,094.00 ","$481,955,268.00 ","$497,479,305.00 ","$551,707,510.00 ","$604,965,542.00 ","$621,166,556.00 ","$10,900.00 ","$15,759.00 ","$16,064.00 ","$15,582.00 ","$18,881.00 ","$19,882.00 ","$20,195.00 "
